razon_social,cuit,email_contacto,telefono_contacto,direccion,fecha_alta
Empresa Test 247 SA,30-60000247-9,contacto247@test.local,1140000247,Calle Ficticia 1729 CABA,2023-09-05
Empresa Test 248 SA,30-60000248-6,contacto248@test.local,1140000248,Calle Ficticia 1736 CABA,2023-09-06
Empresa Test 249 SA,30-60000249-3,contacto249@test.local,1140000249,Calle Ficticia 1743 CABA,2023-09-07
Empresa Test 250 SA,30-60000250-0,contacto250@test.local,1140000250,Calle Ficticia 1750 CABA,2023-09-08
Empresa Test 251 SA,30-60000251-7,contacto251@test.local,1140000251,Calle Ficticia 1757 CABA,2023-09-09
Empresa Test 252 SA,30-60000252-4,contacto252@test.local,1140000252,Calle Ficticia 1764 CABA,2023-09-10
Empresa Test 253 SA,30-60000253-1,contacto253@test.local,1140000253,Calle Ficticia 1771 CABA,2023-09-11
Empresa Test 254 SA,30-60000254-8,contacto254@test.local,1140000254,Calle Ficticia 1778 CABA,2023-09-12
Empresa Test 255 SA,30-60000255-5,contacto255@test.local,1140000255,Calle Ficticia 1785 CABA,2023-09-13
Empresa Test 256 SA,30-60000256-2,contacto256@test.local,1140000256,Calle Ficticia 1792 CABA,2023-09-14
Empresa Test 257 SA,30-60000257-9,contacto257@test.local,1140000257,Calle Ficticia 1799 CABA,2023-09-15
Empresa Test 258 SA,30-60000258-6,contacto258@test.local,1140000258,Calle Ficticia 1806 CABA,2023-09-16
Empresa Test 259 SA,30-60000259-3,contacto259@test.local,1140000259,Calle Ficticia 1813 CABA,2023-09-17
Empresa Test 260 SA,30-60000260-0,contacto260@test.local,1140000260,Calle Ficticia 1820 CABA,2023-09-18
Empresa Test 261 SA,30-60000261-7,contacto261@test.local,1140000261,Calle Ficticia 1827 CABA,2023-09-19
Empresa Test 262 SA,30-60000262-4,contacto262@test.local,1140000262,Calle Ficticia 1834 CABA,2023-09-20
Empresa Test 263 SA,30-60000263-1,contacto263@test.local,1140000263,Calle Ficticia 1841 CABA,2023-09-21
Empresa Test 264 SA,30-60000264-8,contacto264@test.local,1140000264,Calle Ficticia 1848 CABA,2023-09-22
Empresa Test 265 SA,30-60000265-5,contacto265@test.local,1140000265,Calle Ficticia 1855 CABA,2023-09-23
Empresa Test 266 SA,30-60000266-2,contacto266@test.local,1140000266,Calle Ficticia 1862 CABA,2023-09-24
Empresa Test 267 SA,30-60000267-9,contacto267@test.local,1140000267,Calle Ficticia 1869 CABA,2023-09-25
Empresa Test 268 SA,30-60000268-6,contacto268@test.local,1140000268,Calle Ficticia 1876 CABA,2023-09-26
Empresa Test 269 SA,30-60000269-3,contacto269@test.local,1140000269,Calle Ficticia 1883 CABA,2023-09-27
Empresa Test 270 SA,30-60000270-0,contacto270@test.local,1140000270,Calle Ficticia 1890 CABA,2023-09-28
Empresa Test 271 SA,30-60000271-7,contacto271@test.local,1140000271,Calle Ficticia 1897 CABA,2023-09-29
Empresa Test 272 SA,30-60000272-4,contacto272@test.local,1140000272,Calle Ficticia 1904 CABA,2023-09-30
Empresa Test 273 SA,30-60000273-1,contacto273@test.local,1140000273,Calle Ficticia 1911 CABA,2023-10-01
Empresa Test 274 SA,30-60000274-8,contacto274@test.local,1140000274,Calle Ficticia 1918 CABA,2023-10-02
Empresa Test 275 SA,30-60000275-5,contacto275@test.local,1140000275,Calle Ficticia 1925 CABA,2023-10-03
Empresa Test 276 SA,30-60000276-2,contacto276@test.local,1140000276,Calle Ficticia 1932 CABA,2023-10-04
Empresa Test 277 SA,30-60000277-9,contacto277@test.local,1140000277,Calle Ficticia 1939 CABA,2023-10-05
Empresa Test 278 SA,30-60000278-6,contacto278@test.local,1140000278,Calle Ficticia 1946 CABA,2023-10-06
Empresa Test 279 SA,30-60000279-3,contacto279@test.local,1140000279,Calle Ficticia 1953 CABA,2023-10-07
Empresa Test 280 SA,30-60000280-0,contacto280@test.local,1140000280,Calle Ficticia 1960 CABA,2023-10-08
Empresa Test 281 SA,30-60000281-7,contacto281@test.local,1140000281,Calle Ficticia 1967 CABA,2023-10-09
Empresa Test 282 SA,30-60000282-4,contacto282@test.local,1140000282,Calle Ficticia 1974 CABA,2023-10-10
Empresa Test 283 SA,30-60000283-1,contacto283@test.local,1140000283,Calle Ficticia 1981 CABA,2023-10-11
Empresa Test 284 SA,30-60000284-8,contacto284@test.local,1140000284,Calle Ficticia 1988 CABA,2023-10-12
Empresa Test 285 SA,30-60000285-5,contacto285@test.local,1140000285,Calle Ficticia 1995 CABA,2023-10-13
Empresa Test 286 SA,30-60000286-2,contacto286@test.local,1140000286,Calle Ficticia 2002 CABA,2023-10-14
Empresa Test 287 SA,30-60000287-9,contacto287@test.local,1140000287,Calle Ficticia 2009 CABA,2023-10-15
Empresa Test 288 SA,30-60000288-6,contacto288@test.local,1140000288,Calle Ficticia 2016 CABA,2023-10-16
Empresa Test 289 SA,30-60000289-3,contacto289@test.local,1140000289,Calle Ficticia 2023 CABA,2023-10-17
Empresa Test 290 SA,30-60000290-0,contacto290@test.local,1140000290,Calle Ficticia 2030 CABA,2023-10-18
Empresa Test 291 SA,30-60000291-7,contacto291@test.local,1140000291,Calle Ficticia 2037 CABA,2023-10-19
Empresa Test 292 SA,30-60000292-4,contacto292@test.local,1140000292,Calle Ficticia 2044 CABA,2023-10-20
Empresa Test 293 SA,30-60000293-1,contacto293@test.local,1140000293,Calle Ficticia 2051 CABA,2023-10-21
Empresa Test 294 SA,30-60000294-8,contacto294@test.local,1140000294,Calle Ficticia 2058 CABA,2023-10-22
Empresa Test 295 SA,30-60000295-5,contacto295@test.local,1140000295,Calle Ficticia 2065 CABA,2023-10-23
Empresa Test 296 SA,30-60000296-2,contacto296@test.local,1140000296,Calle Ficticia 2072 CABA,2023-10-24
Empresa Test 297 SA,30-60000297-9,contacto297@test.local,1140000297,Calle Ficticia 2079 CABA,2023-10-25
Empresa Test 298 SA,30-60000298-6,contacto298@test.local,1140000298,Calle Ficticia 2086 CABA,2023-10-26
Empresa Test 299 SA,30-60000299-3,contacto299@test.local,1140000299,Calle Ficticia 2093 CABA,2023-10-27
Empresa Test 300 SA,30-60000300-0,contacto300@test.local,1140000300,Calle Ficticia 2100 CABA,2023-10-28
